,db,ticker,date,open,high,low,adj_close,rownumber,short_ema,medium_ema,long_ema,positive_directional_index_indicator,negative_directional_index_indicator,adx_indicator,suport_line,resistance_line,max_axis,min_axis,trigger_field1,trigger_field2,trigger_field3,trigger_field4,trigger_field5,trigger_field6,atr,floatshort,company,earnings_date,call_time,estimate_eps,zero_line,twenty_five_line,forty_line,max_avg_upper,min_avg_low,name,industry,vol_spike_bar
149,MD_Investm,AGL,10/4/2021,25.9,26.21,25.2,25.7,25,26.4,27.96,29.39,11.25,34.32,-48.26,22.54,42.47,49.31,18.73,"rgb(232, 232, 232)","rgb(255, 0, 0)","rgb(232, 232, 232)","rgb(232, 232, 232)","rgb(232, 232, 232)","rgb(232, 232, 232)",0.72,1.53,,,,,0,25,40,37.048023,8.209651,agilon health inc,Medical Care Facilities,0
150,MD_Investm,AIEQ,6/30/2021,41.84,41.99,41.34,41.45,91,41.34,40.69,39.94,29.67,20.33,19.68,38.85,43.77,49.17,34.84,"rgb(232, 232, 232)","rgb(255, 0, 0)","rgb(232, 232, 232)","rgb(232, 232, 232)","rgb(232, 232, 232)","rgb(232, 232, 232)",0.38,,,,,,0,25,40,41.248139,13.187093,AI Powered Equity ETF,ETF,0
151,MD_Investm,AIEQ,7/15/2021,40,40.39,39.49,39.75,81,40.47,40.52,40.05,8.22,57.79,-35.46,38.85,43.77,49.17,34.84,"rgb(232, 232, 232)","rgb(255, 0, 0)","rgb(232, 232, 232)","rgb(255, 255, 0)","rgb(255, 255, 0)","rgb(255, 255, 0)",0.38,,,,,,0,25,40,41.248139,13.187093,AI Powered Equity ETF,ETF,0
152,MD_Investm,AIEQ,8/13/2021,41.95,41.95,41.59,41.69,60,41.71,41.4,41.39,15.46,21.26,-15.02,38.85,43.77,49.17,34.84,"rgb(232, 232, 232)","rgb(232, 232, 232)","rgb(232, 232, 232)","rgb(232, 232, 232)","rgb(232, 232, 232)","rgb(232, 232, 232)",0.38,,,,,,0,25,40,41.248139,13.187093,AI Powered Equity ETF,ETF,49.17
153,MD_Investm,AIG,9/1/2021,54.69,54.82,54.21,54.58,47,54.45,53.8,52.42,12.72,10.54,32.47,44.97,60.37,68.79,40.09,"rgb(232, 232, 232)","rgb(232, 232, 232)","rgb(232, 232, 232)","rgb(232, 232, 232)","rgb(232, 232, 232)","rgb(232, 232, 232)",3.83,1.08,,,,,0,25,40,35.507558,10.402325,American International Group Inc,Property and Casualty Insurance,0
154,MD_Investm,AIG,9/2/2021,54.77,55.39,54.65,55.23,46,54.82,54.29,52.83,22.36,8.7,30.08,44.97,60.37,68.79,40.09,"rgb(232, 232, 232)","rgb(232, 232, 232)","rgb(232, 232, 232)","rgb(232, 232, 232)","rgb(232, 232, 232)","rgb(232, 232, 232)",3.83,1.08,,,,,0,25,40,35.507558,10.402325,American International Group Inc,Property and Casualty Insurance,0
155,MD_Investm,AIIQ,9/10/2021,35.12,35.24,34.89,34.89,41,34.83,34.14,34.01,51.15,26.72,35.7,31.67,35.17,38.76,0,"rgb(232, 232, 232)","rgb(232, 232, 232)","rgb(232, 232, 232)","rgb(232, 232, 232)","rgb(232, 232, 232)","rgb(232, 232, 232)",0.1,,,,,,0,25,40,63.024534,21.814069,AI Powered International Equity ETF,ETF,38.76
156,MD_Investm,AIMC,6/25/2021,64.57,65.22,63.85,64.11,94,63.77,64.44,64.45,23.53,17.03,-18.55,52.1,66.27,73.34,45.9,"rgb(232, 232, 232)","rgb(232, 232, 232)","rgb(232, 232, 232)","rgb(232, 232, 232)","rgb(232, 232, 232)","rgb(232, 232, 232)",2.93,1.36,,,,,0,25,40,29.941511,11.01372,Altra Industrial Motion Corp,Industrial Electrical Equipment,73.34
157,MD_Investm,AIMC,9/17/2021,55.6,55.65,54.13,54.99,36,55.96,56.79,57.34,7.57,29.21,-20.76,52.1,66.27,73.34,45.9,"rgb(232, 232, 232)","rgb(255, 0, 0)","rgb(232, 232, 232)","rgb(232, 232, 232)","rgb(232, 232, 232)","rgb(232, 232, 232)",2.93,1.36,,,,,0,25,40,29.941511,11.01372,Altra Industrial Motion Corp,Industrial Electrical Equipment,73.34
158,MD_Investm,AIMC,9/22/2021,53.66,54.97,52.5,52.69,33,54.22,55.45,56.04,13.74,21.47,-7.38,52.1,66.27,73.34,45.9,"rgb(232, 232, 232)","rgb(255, 255, 0)","rgb(232, 232, 232)","rgb(232, 232, 232)","rgb(232, 232, 232)","rgb(232, 232, 232)",2.93,1.36,,,,,0,25,40,29.941511,11.01372,Altra Industrial Motion Corp,Industrial Electrical Equipment,0
159,MD_Investm,AIMC,9/27/2021,55.29,57.85,55.29,57.72,30,56.02,57.13,57.83,31.83,10.67,-13.7,52.1,66.27,73.34,45.9,"rgb(232, 232, 232)","rgb(232, 232, 232)","rgb(232, 232, 232)","rgb(232, 232, 232)","rgb(232, 232, 232)","rgb(232, 232, 232)",2.93,1.36,,,,,0,25,40,29.941511,11.01372,Altra Industrial Motion Corp,Industrial Electrical Equipment,0
160,MD_Investm,AIMC,9/30/2021,56.98,57.22,55.11,55.35,27,55.1,55.86,56.59,18.85,17.71,-15.33,52.1,66.27,73.34,45.9,"rgb(232, 232, 232)","rgb(255, 0, 0)","rgb(232, 232, 232)","rgb(232, 232, 232)","rgb(232, 232, 232)","rgb(232, 232, 232)",2.93,1.36,,,,,0,25,40,29.941511,11.01372,Altra Industrial Motion Corp,Industrial Electrical Equipment,0
161,MD_Investm,AIMC,10/15/2021,55.41,55.68,54.09,55.14,16,54.86,55.02,55.64,17.99,23.01,-36.84,52.1,66.27,73.34,45.9,"rgb(232, 232, 232)","rgb(232, 232, 232)","rgb(232, 232, 232)","rgb(232, 232, 232)","rgb(232, 232, 232)","rgb(232, 232, 232)",2.93,1.36,,,,,0,25,40,29.941511,11.01372,Altra Industrial Motion Corp,Industrial Electrical Equipment,0
